"","score","isHighRisk"
"GSM51309",-0.685551626727039,0
"GSM51310",-0.596799192720104,0
"GSM51311",-0.576884417680172,0
"GSM51312",0.800152404109267,0
"GSM51313",-0.233389424636479,0
"GSM51314",-1.45837270861315,0
"GSM51315",-0.405822592942447,0
"GSM51316",0.68132982821653,0
"GSM51317",0.389886884715708,0
"GSM51318",1.32108500351269,1
"GSM51319",-0.266887723723737,0
"GSM51320",0.590640258431324,0
"GSM51321",-0.190596123407701,0
"GSM51322",-0.71159791745424,0
"GSM51323",-0.742479495757382,0
"GSM51324",2.2817443460556,1
"GSM51325",-0.277351067047841,0
"GSM51326",-0.111271432554995,0
"GSM51327",0.593785310381418,0
"GSM51328",-1.00521431286056,0
"GSM51329",0.0168544834333265,0
"GSM51330",-0.696640447092202,0
"GSM51331",1.42249716022263,1
"GSM51332",-0.618346446960723,0
"GSM51333",-0.570252703867319,0
"GSM51334",-0.0402388981334429,0
"GSM51335",1.33769558857859,1
"GSM51336",-1.73574388508801,0
